ts,src_ip,dst_ip,src_port,dst_port,proto,service,conn_state,duration,orig_pkts,resp_pkts,pkts_total,orig_bytes,resp_bytes,bytes_total,pkts_per_sec,bytes_per_sec,iat_mean,iat_std,syn_count,ack_count,rst_count,attack_type,label,risk_hint
2026-01-07T23:42:22,192.168.4.111,192.168.4.201,24788,22,TCP,ssh,SF,2.151618,26,10,36,8391.36,2273.36,10664.72,16.7316,4956.6022,0.065684,0.007726,2,4,0,BruteForce,1,0.6062
2026-01-07T00:43:07,192.168.3.40,192.168.4.39,64034,143,TCP,imap,REJ,0.525961,6,1,7,495.87,195.64,691.5,13.3089,1314.7361,0.01471,0.045169,4,1,0,PortScan,1,0.742
2026-01-06T01:29:27,192.168.4.198,192.168.0.118,59098,443,TCP,https,RSTO,0.289307,5,0,5,166.23,45.27,211.5,17.2826,731.0426,0.134009,0.023236,3,1,1,PortScan,1,0.6973
2026-01-04T15:24:57,192.168.4.90,192.168.3.71,40712,443,TCP,https,RSTO,4.581626,154,26,180,181843.49,15909.14,197752.63,39.2874,43162.1008,0.034151,0.047628,16,10,0,DoS,1,0.9614
2026-01-05T15:27:04,192.168.2.234,192.168.1.80,6774,443,TCP,https,RSTO,0.250441,4,1,5,438.57,27.32,465.89,19.9647,1860.2889,0.04384,0.030883,5,4,2,PortScan,1,0.864
2026-01-03T16:22:05,192.168.0.203,192.168.4.112,51221,161,TCP,snmp,S0,0.20848,4,0,4,346.61,64.54,411.15,19.1864,1972.1451,0.019015,0.055567,5,2,1,PortScan,1,0.6613
2026-01-03T17:55:25,192.168.1.37,192.168.1.20,46323,443,TCP,https,REJ,0.252015,5,2,7,345.19,143.35,488.54,27.7761,1938.5468,0.073707,0.005051,5,2,1,PortScan,1,0.6778
2026-01-06T17:12:05,192.168.3.14,192.168.2.213,65421,80,TCP,http,S0,0.843817,4,1,5,140.93,50.68,191.61,5.9254,227.078,0.033182,0.007492,3,3,2,PortScan,1,0.6212
2026-01-02T19:18:38,192.168.2.198,192.168.3.127,14761,443,TCP,https,S0,0.54516,2,2,4,322.6,95.66,418.25,7.3373,767.2133,0.054727,0.064417,6,1,2,PortScan,1,0.8267
2026-01-05T00:28:31,192.168.2.75,192.168.3.31,46357,110,TCP,pop3,S0,0.059119,5,0,5,536.72,51.96,588.68,84.5741,9957.4533,0.137902,0.088426,8,1,1,PortScan,1,0.8378
2026-01-01T03:11:46,192.168.3.121,192.168.0.66,30664,22,TCP,ssh,RSTO,0.517875,27,6,33,5077.57,1292.11,6369.68,63.7218,12299.6193,0.020032,0.022325,3,7,1,BruteForce,1,0.7027
